ID,Transportation,Accommodation,Allowances,Basic
AMEX-0004,1000.0,5000.0,0.0,6000.0
AMEX-0006,1000.0,5000.0,0.0,6000.0
AMEX-0008,3500.0,6500.0,0.0,10000.0
AMEX-0010,1000.0,1500.0,0.0,5000.0
AMEX-0011,1200.0,2000.0,0.0,4800.0
AMEX-0017,1200.0,2000.0,0.0,4800.0
AMEX-0012,1125.0,1875.0,0.0,4500.0
PAT-0001,300.0,420.0,0.0,1080.0
AMEX-0018,2500.0,6500.0,1000.0,15000.0
BP-0001,0.0,600.0,0.0,900.0
MTM-0002,650.0,1300.0,0.0,4550.0
AMEX-0013,2000.0,1500.0,0.0,5000.0
AMEX-0015,1300.0,2700.0,0.0,6000.0
AMEX-0016,1050.0,1750.0,0.0,4200.0
HCG-0002,2425.0,5755.0,0.0,9620.0
HCG-0007,0.0,0.0,0.0,20000.0
UDC-0024,305.0,1000.0,0.0,1950.0
UDC-0001,1100.0,1600.0,0.0,3800.0
UDC-0003,1000.0,1400.0,0.0,3600.0
UDC-0007,1000.0,1200.0,0.0,3300.0
UDC-0019,1000.0,1200.0,0.0,3300.0
UDC-0021,1095.0,1300.0,0.0,3600.0
UDC-0008,1000.0,1200.0,0.0,3300.0
UDC-0010,1000.0,1200.0,0.0,3300.0
UDC-0011,800.0,1000.0,0.0,2700.0
UDC-0012,800.0,1000.0,0.0,2700.0
DB-0005,1400.0,2000.0,0.0,5100.0
UDC-0013,1000.0,1250.0,0.0,2750.0
UDC-0016,800.0,1200.0,0.0,3000.0
UDC-0017,950.0,1250.0,0.0,3300.0
UDC-0026,600.0,600.0,0.0,1800.0
DB-0001,600.0,2000.0,0.0,3900.0
UDC-0014,800.0,1000.0,0.0,2700.0
AMEX-0019,1000.0,3000.0,0.0,6000.0
HCG-0006,3000.0,5000.0,0.0,12000.0
UDC-0027,600.0,600.0,0.0,1800.0
DB-0012,1000.0,1600.0,0.0,3900.0
DB-0014,1000.0,1600.0,0.0,3900.0
DB-0015,1000.0,1600.0,0.0,3900.0
DB-0018,1000.0,1600.0,0.0,3900.0
DB-0019,1000.0,1600.0,0.0,3900.0
DB-0020,1000.0,1600.0,0.0,3900.0
UDC-0033,800.0,1000.0,0.0,2700.0
DB-0023,1000.0,1600.0,0.0,3900.0
UDC-0031,1100.0,1300.0,0.0,3600.0
UDC-0035,600.0,600.0,0.0,1800.0
