"ID","Component (Earnings)","Amount (Earnings)","Company","Is Active","ID (Earnings)"
"AMEX-0004","Transportation","1000.0","Human Capital Group","Yes","Yes"
"","Accommodation","5000.0","","",""
"","Allowances","0.0","","",""
"","Basic","6000.0","","",""
"AMEX-0006","Transportation","1000.0","Human Capital Group","Yes","Yes"
"","Accommodation","5000.0","","",""
"","Allowances","0.0","","",""
"","Basic","6000.0","","",""
"AMEX-0008","Transportation","3500.0","Human Capital Group","Yes","Yes"
"","Accommodation","6500.0","","",""
"","Allowances","0.0","","",""
"","Basic","10000.0","","",""
"AMEX-0010","Transportation","1000.0","Human Capital Group","Yes","Yes"
"","Accommodation","1500.0","","",""
"","Allowances","0.0","","",""
"","Basic","5000.0","","",""
"AMEX-0011","Transportation","1200.0","Human Capital Group","Yes","Yes"
"","Accommodation","2000.0","","",""
"","Allowances","0.0","","",""
"","Basic","4800.0","","",""
"AMEX-0017","Transportation","1200.0","Human Capital Group","Yes","Yes"
"","Accommodation","2000.0","","",""
"","Allowances","0.0","","",""
"","Basic","4800.0","","",""
"AMEX-0012","Transportation","1125.0","Human Capital Group","Yes","Yes"
"","Accommodation","1875.0","","",""
"","Allowances","0.0","","",""
"","Basic","4500.0","","",""
"PAT-0001","Transportation","300.0","Human Capital Group","Yes","Yes"
"","Accommodation","420.0","","",""
"","Allowances","0.0","","",""
"","Basic","1080.0","","",""
"AMEX-0018","Transportation","2500.0","Human Capital Group","Yes","Yes"
"","Accommodation","6500.0","","",""
"","Allowances","1000.0","","",""
"","Basic","15000.0","","",""
"BP-0001","Transportation","0.0","Human Capital Group","Yes","Yes"
"","Accommodation","600.0","","",""
"","Allowances","0.0","","",""
"","Basic","900.0","","",""
"MTM-0002","Transportation","650.0","Human Capital Group","Yes","Yes"
"","Accommodation","1300.0","","",""
"","Allowances","0.0","","",""
"","Basic","4550.0","","",""
"AMEX-0013","Transportation","2000.0","Human Capital Group","Yes","Yes"
"","Accommodation","1500.0","","",""
"","Allowances","0.0","","",""
"","Basic","5000.0","","",""
"AMEX-0015","Transportation","1300.0","Human Capital Group","Yes","Yes"
"","Accommodation","2700.0","","",""
"","Allowances","0.0","","",""
"","Basic","6000.0","","",""
"AMEX-0016","Transportation","1050.0","Human Capital Group","Yes","Yes"
"","Accommodation","1750.0","","",""
"","Allowances","0.0","","",""
"","Basic","4200.0","","",""
"HCG-0002","Transportation","2425.0","Human Capital Group","Yes","Yes"
"","Accommodation","5755.0","","",""
"","Allowances","0.0","","",""
"","Basic","9620.0","","",""
"HCG-0007","Transportation","0.0","Human Capital Group","Yes","Yes"
"","Accommodation","0.0","","",""
"","Allowances","0.0","","",""
"","Basic","20000.0","","",""
"UDC-0024","Transportation","305.0","Human Capital Group","Yes","Yes"
"","Accommodation","1000.0","","",""
"","Allowances","0.0","","",""
"","Basic","1950.0","","",""
"UDC-0001","Transportation","1100.0","Human Capital Group","Yes","Yes"
"","Accommodation","1600.0","","",""
"","Allowances","0.0","","",""
"","Basic","3800.0","","",""
"UDC-0003","Transportation","1000.0","Human Capital Group","Yes","Yes"
