ID,2016-01-01,Salary Structure,From Date
,HCG0349,UDC-0144,2021-01-13
,HCG0348,UDC-0143,2020-12-30
,HCG0347,HCG-0026,2020-12-27
,HCG0346,UDC-0142,2020-12-20
,HCG0345,UDC-0141,2020-12-14
,HCG0344,UDC-0140,2020-11-29
,HCG0343,UDC-0139,2020-11-24
,HCG0341,HCG-0025,2020-11-16
,HCG0340,UDC-0137,2020-11-15
,HCG0339,AMEX-0102,2020-11-02
,HCG0337,AMEX-0101,2020-10-27
,HCG0336,HCG-0024,2020-10-25
,HCG0335,UDC-0135,2020-10-25
,HCG0334,UDC-0134,2020-10-25
,HCG0333,HCG-0023,2020-10-24
,HCG0331,AMEX-0100,2020-10-18
,HCG0330,AMEX-0099,2020-10-18
,HCG0329,UDC-0133,2020-10-18
,HCG0328,UDC-0132,2020-10-18
,HCG0327,UDC-0131,2020-10-14
,HCG0326,UDC-0130,2020-10-06
,HCG0325,UDC-0129,2020-10-01
,HCG0324,UDC-0128,2020-09-28
,HCG0322,UDC-0126,2020-09-27
,HCG0321,UDC-0125,2020-09-23
,HCG0320,UDC-0124,2020-09-15
,HCG0318,MTM-0014,2020-08-15
,HCG0317,MTM-0013,2020-08-15
,HCG0316,MTM-0012,2020-08-15
,HCG0315,UDC-0122,2020-08-09
,HCG0314,UDC-0121,2020-08-09
,HCG0313,MTM-0011,2020-08-01
,HCG0312,AMEX-0098,2020-07-26
,HCG0311,AMEX-0097,2020-07-26
,HCG0310,AMEX-0096,2020-07-26
,HCG0307,MP-0008,2020-07-22
,HCG0306,MP-0007,2020-07-19
,HCG0305,MP-0006,2020-07-16
,HCG0304,MP-0005,2020-07-16
,HCG0302,MP-0004,2020-07-08
,HCG0301,UDC-0117,2020-07-04
,HCG0300,MP-0003,2020-07-02
,HCG0296,AMEX-0093,2020-03-18
,HCG0295,UDC-0115,2020-03-11
,HCG0294,UDC-0114,2020-03-08
,HCG0292,AMEX-0092,2020-03-02
,HCG0290,MP-0001,2020-02-19
,HCG0287,UDC-0113,2020-02-02
,HCG0284,HCG-0018,2019-12-26
,HCG0278,AMEX-0087,2019-12-04
,HCG0275,DB-0060,2019-11-13
,HCG0265,UDC-0101,2019-10-31
,HCG0264,UDC-0100,2019-10-20
,HCG0259,DB-0057,2019-10-09
,HCG0258,UDC-0098,2019-10-06
,HCG0256,DB-0055,2019-10-02
,HCG0254,DB-0053,2019-09-09
,HCG0253,DB-0052,2019-09-09
,HCG0247,UDC-0096,2019-08-28
,HCG0242,AMEX-0077,2019-08-15
,HCG0240,AMEX-0075,2019-08-15
,HCG0239,DB-0051,2019-08-06
,HCG0235,UDC-0090,2019-07-29
,HCG0234,UDC-0089,2019-07-29
,HCG0233,UDC-0088,2019-07-24
,HCG0232,DB-0049,2019-07-15
,HCG0230,AMEX-0073,2019-07-01
,HCG0227,UDC-0086,2019-05-19
,HCG0225,AMEX-0071,2019-05-05
,HCG0222,AMEX-0069,2019-04-11
,HCG0217,AMEX-0068,2019-03-25
,HCG0216,AMEX-0067,2019-03-25
,HCG0214,UDC-0072,2019-03-21
,HCG0211,UDC-0075,2019-03-06
