ID,Company
UDC-0145,Human Capital Group
UDC-0144,Human Capital Group
UDC-0143,Human Capital Group
HCG-0026,Human Capital Group
UDC-0142,Human Capital Group
UDC-0141,Human Capital Group
UDC-0140,Human Capital Group
UDC-0139,Human Capital Group
HCG-0025,Human Capital Group
UDC-0137,Human Capital Group
AMEX-0102,Human Capital Group
AMEX-0101,Human Capital Group
HCG-0024,Human Capital Group
UDC-0135,Human Capital Group
UDC-0134,Human Capital Group
HCG-0023,Human Capital Group
AMEX-0100,Human Capital Group
AMEX-0099,Human Capital Group
UDC-0133,Human Capital Group
UDC-0132,Human Capital Group
UDC-0131,Human Capital Group
UDC-0130,Human Capital Group
UDC-0129,Human Capital Group
UDC-0128,Human Capital Group
UDC-0126,Human Capital Group
UDC-0125,Human Capital Group
UDC-0124,Human Capital Group
MTM-0014,Human Capital Group
MTM-0013,Human Capital Group
MTM-0012,Human Capital Group
UDC-0122,Human Capital Group
UDC-0121,Human Capital Group
MTM-0011,Human Capital Group
AMEX-0098,Human Capital Group
AMEX-0097,Human Capital Group
AMEX-0096,Human Capital Group
MP-0008,Human Capital Group
MP-0007,Human Capital Group
MP-0006,Human Capital Group
MP-0005,Human Capital Group
MP-0004,Human Capital Group
UDC-0117,Human Capital Group
MP-0003,Human Capital Group
AMEX-0093,Human Capital Group
UDC-0115,Human Capital Group
UDC-0114,Human Capital Group
AMEX-0092,Human Capital Group
MP-0001,Human Capital Group
UDC-0113,Human Capital Group
HCG-0018,Human Capital Group
AMEX-0087,Human Capital Group
DB-0060,Human Capital Group
UDC-0101,Human Capital Group
UDC-0100,Human Capital Group
DB-0057,Human Capital Group
UDC-0098,Human Capital Group
DB-0055,Human Capital Group
DB-0053,Human Capital Group
DB-0052,Human Capital Group
UDC-0096,Human Capital Group
AMEX-0077,Human Capital Group
AMEX-0075,Human Capital Group
DB-0051,Human Capital Group
UDC-0090,Human Capital Group
UDC-0089,Human Capital Group
UDC-0088,Human Capital Group
DB-0049,Human Capital Group
AMEX-0073,Human Capital Group
UDC-0086,Human Capital Group
AMEX-0071,Human Capital Group
AMEX-0069,Human Capital Group
AMEX-0068,Human Capital Group
AMEX-0067,Human Capital Group
UDC-0072,Human Capital Group
UDC-0075,Human Capital Group
AMEX-0065,Human Capital Group
UDC-0078,Human Capital Group
AMEX-0063,Human Capital Group
UDC-0077,Human Capital Group
DB-0044,Human Capital Group
DB-0043,Human Capital Group
AMEX-0061,Human Capital Group
DB-0042,Human Capital Group
UDC-0073,Human Capital Group
DB-0041,Human Capital Group
UDC-0071,Human Capital Group
AMEX-0052,Human Capital Group
DB-0036,Human Capital Group
DB-0035,Human Capital Group
DB-0034,Human Capital Group
DB-0032,Human Capital Group
DB-0030,Human Capital Group
AMEX-0042,Human Capital Group
UDC-0068,Human Capital Group
DB-0029,Human Capital Group
AMEX-0044,Human Capital Group
UDC-0066,Human Capital Group
AMEX-0038,Human Capital Group
UDC-0065,Human Capital Group
HCG-0015,Human Capital Group
UDC-0063,Human Capital Group
UDC-0062,Human Capital Group
AMEX-0035,Human Capital Group
HCG-0013,Human Capital Group
UDC-0056,Human Capital Group
HCG-0011,Human Capital Group
AMEX-0034,Human Capital Group
UDC-0049,Human Capital Group
UDC-0048,Human Capital Group
AMEX-0024,Human Capital Group
UDC-0036,Human Capital Group
UDC-0035,Human Capital Group
UDC-0031,Human Capital Group
DB-0023,Human Capital Group
UDC-0033,Human Capital Group
DB-0020,Human Capital Group
DB-0019,Human Capital Group
DB-0018,Human Capital Group
DB-0015,Human Capital Group
DB-0014,Human Capital Group
DB-0012,Human Capital Group
UDC-0027,Human Capital Group
HCG-0006,Human Capital Group
AMEX-0019,Human Capital Group
UDC-0014,Human Capital Group
DB-0001,Human Capital Group
UDC-0026,Human Capital Group
UDC-0017,Human Capital Group
UDC-0016,Human Capital Group
UDC-0013,Human Capital Group
DB-0005,Human Capital Group
UDC-0012,Human Capital Group
UDC-0011,Human Capital Group
UDC-0010,Human Capital Group
UDC-0008,Human Capital Group
UDC-0021,Human Capital Group
UDC-0019,Human Capital Group
UDC-0007,Human Capital Group
UDC-0003,Human Capital Group
UDC-0001,Human Capital Group
UDC-0024,Human Capital Group
HCG-0007,Human Capital Group
HCG-0002,Human Capital Group
AMEX-0016,Human Capital Group
AMEX-0015,Human Capital Group
AMEX-0013,Human Capital Group
MTM-0002,Human Capital Group
BP-0001,Human Capital Group
AMEX-0018,Human Capital Group
PAT-0001,Human Capital Group
AMEX-0012,Human Capital Group
AMEX-0017,Human Capital Group
AMEX-0011,Human Capital Group
AMEX-0010,Human Capital Group
AMEX-0008,Human Capital Group
AMEX-0006,Human Capital Group
AMEX-0004,Human Capital Group
